#{"t_start": 1765298901.6523037, "env_id": "None"}
r,l,t
-416.234591,1351,171.603194
-578.642386,1896,283.519382
-798.253889,3113,548.651687
-1100.060415,4576,845.15559
-2127.174453,12479,1776.115768
-1967.850252,12479,2320.854185
-1757.790501,12479,2812.78332
-1789.397965,12479,3226.556849
-1530.716003,12479,3641.004389
-1486.918119,12479,4010.646527
-1232.346894,12479,4417.19009
-1143.38846,12479,4834.121384
-1140.267396,12479,5250.228062
-1126.469362,12479,5645.569252
-1041.240127,12479,6050.037851
-1031.555388,12479,6465.183185
-902.421539,12479,6839.499383
-905.1672,12479,7220.841453
-903.718964,12479,7586.858931
-821.476458,12479,8103.741791
-699.299546,12479,8516.192394
